-1.4335758	-3.5921077	-3.7096606
-2.8465673	 3.6861357	-0.7610740
-4.3549613	-0.4356123	 0.0246597
-1.4092248	-6.5868775	-3.6935405
 1.3885783	-2.7456886	-0.1506592
-4.3495168	 0.0051336	 0.0254062
 0.1686625	-0.8104572	 0.4030567
 3.8089926	-0.4463205	-0.8624972
-1.3550197	-3.4903624	-3.6475002
-2.1380506	-3.1995500	-2.7164115
-4.9838126	-0.6199207	-0.0794230
-4.4464775	 0.7088295	 0.0277226
-0.3050107	-1.1709992	-0.7261652
-0.2841216	-0.0344066	-0.6621936
-2.3792525	-3.4291081	-1.9869780
 3.3624277	 5.4149726	-1.2647779
 1.7412819	-0.8038977	-0.8264992
-2.1407834	-3.0164205	-2.7078247
 2.7908302	-1.0204441	-1.6358702
-4.8417278	 0.0199837	-0.0268579
-0.1234870	-0.4147945	-0.2146241
 0.3391507	 9.8946576	 0.6252206
 1.4327040	-0.0305158	-0.2361144
-0.6622066	-2.5521718	-1.8928284
 3.1319358	-1.8705605	-1.4500268
-2.5056618	-2.7787920	-1.6106103
-2.7156327	-2.3273870	-1.0488202
-3.0968899	-0.1314618	-0.3731329
-0.7187159	-1.1283874	-2.0842851
 1.6141001	-1.3934406	-0.5896594
 2.7818249	-1.9736171	-1.6382538
-1.7294008	-3.8434671	-3.6057459
-1.3936386	-2.9741529	-3.6810321
-4.8730613	 0.8079251	-0.0379954
 1.0761724	 1.0801627	 0.3873935
 1.1784811	 0.2690855	 0.2280073
 4.2366063	-2.5286542	-0.4799662
 0.5075303	-3.6623650	 0.7376812
 4.2029170	-2.1273687	-0.5083757
 4.6914604	-1.0954573	-0.0414758
